Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
 0.535717E-01 -0.822902E+00   0.565652E+00
 0.403360E-01 -0.771662E+00   0.634752E+00
 0.268162E-01 -0.721932E+00   0.691444E+00
 0.133113E-01 -0.674975E+00   0.737721E+00
 0.000000E+00 -0.631401E+00   0.775456E+00
 0.843495E-01 -0.996350E+00   0.130941E-01
 0.821755E-01 -0.984784E+00   0.153129E+00
 0.766215E-01 -0.955575E+00   0.284616E+00
 0.683677E-01 -0.913106E+00   0.401950E+00
 0.582393E-01 -0.862605E+00   0.502514E+00
 0.469958E-01 -0.808752E+00   0.586270E+00
 0.352239E-01 -0.754998E+00   0.654780E+00
 0.233227E-01 -0.703525E+00   0.710288E+00
 0.115366E-01 -0.655497E+00   0.755110E+00
 0.000000E+00 -0.611388E+00   0.791331E+00
 0.742693E-01 -0.997111E+00   0.159401E-01
 0.722263E-01 -0.984097E+00   0.162287E+00
 0.671195E-01 -0.951966E+00   0.298758E+00
 0.596304E-01 -0.905924E+00   0.419221E+00
 0.505588E-01 -0.851975E+00   0.521135E+00
 0.406122E-01 -0.795275E+00   0.604887E+00
 0.303131E-01 -0.739440E+00   0.672539E+00
 0.199984E-01 -0.686615E+00   0.726746E+00
 0.986171E-02 -0.637838E+00   0.770107E+00
 0.000000E+00 -0.593439E+00   0.804879E+00
 0.641250E-01 -0.997787E+00   0.175803E-01
 0.622728E-01 -0.983500E+00   0.169852E+00
 0.576982E-01 -0.948670E+00   0.310959E+00
 0.510598E-01 -0.899339E+00   0.434261E+00
 0.431089E-01 -0.842272E+00   0.537327E+00
 0.344866E-01 -0.783059E+00   0.620991E+00
 0.256461E-01 -0.725444E+00   0.687803E+00
 0.168656E-01 -0.671508E+00   0.740805E+00
 0.829453E-02 -0.622158E+00   0.782848E+00
 0.000000E+00 -0.577582E+00   0.816332E+00
 0.539009E-01 -0.998331E+00   0.207322E-01
 0.522518E-01 -0.982631E+00   0.178060E+00
 0.482653E-01 -0.945194E+00   0.322923E+00
 0.425511E-01 -0.892870E+00   0.448299E+00
 0.357847E-01 -0.833105E+00   0.551956E+00
 0.285225E-01 -0.771829E+00   0.635191E+00
 0.211424E-01 -0.712837E+00   0.701011E+00
 0.138658E-01 -0.658118E+00   0.752787E+00
 0.680374E-02 -0.608435E+00   0.793575E+00
 0.000000E+00 -0.563845E+00   0.825881E+00
 0.435816E-01 -0.998825E+00   0.211731E-01
 0.422082E-01 -0.982162E+00   0.183238E+00
 0.388993E-01 -0.942574E+00   0.331725E+00
 0.341899E-01 -0.887676E+00   0.459198E+00
 0.286598E-01 -0.825560E+00   0.563586E+00
 0.227733E-01 -0.762479E+00   0.646612E+00
 0.168351E-01 -0.702283E+00   0.711699E+00
 0.110155E-01 -0.646873E+00   0.762518E+00
 0.539477E-02 -0.596889E+00   0.802306E+00
 0.000000E+00 -0.552273E+00   0.833663E+00
 0.331177E-01 -0.999229E+00   0.211011E-01
 0.320519E-01 -0.981807E+00   0.187159E+00
 0.294848E-01 -0.940437E+00   0.338687E+00
 0.258504E-01 -0.883406E+00   0.467894E+00
 0.216115E-01 -0.819365E+00   0.572865E+00
 0.171296E-01 -0.754830E+00   0.655697E+00
 0.126351E-01 -0.693685E+00   0.720168E+00
 0.825202E-02 -0.637748E+00   0.770201E+00
 0.403519E-02 -0.587552E+00   0.809176E+00
 0.000000E+00 -0.542941E+00   0.839771E+00
 0.224392E-01 -0.999514E+00   0.216559E-01
 0.217018E-01 -0.981415E+00   0.190665E+00
 0.199327E-01 -0.938624E+00   0.344367E+00
 0.174410E-01 -0.879957E+00   0.474732E+00
 0.145509E-01 -0.814487E+00   0.579999E+00
 0.115112E-01 -0.748910E+00   0.662571E+00
 0.847684E-02 -0.687113E+00   0.726501E+00
 0.552861E-02 -0.630841E+00   0.775892E+00
 0.270042E-02 -0.580538E+00   0.814229E+00
 0.000000E+00 -0.535972E+00   0.844236E+00
 0.114468E-01 -0.999684E+00   0.223732E-01
 0.110645E-01 -0.981093E+00   0.193222E+00
 0.101516E-01 -0.937352E+00   0.348236E+00
 0.887080E-02 -0.877632E+00   0.479253E+00
 0.739086E-02 -0.811266E+00   0.584631E+00
 0.583975E-02 -0.745055E+00   0.666978E+00
 0.429587E-02 -0.682876E+00   0.730521E+00
 0.279935E-02 -0.626422E+00   0.779479E+00
 0.136636E-02 -0.576076E+00   0.817395E+00
 0.000000E+00 -0.531559E+00   0.847021E+00
 0.000000E+00 -0.999734E+00   0.230461E-01
 0.000000E+00 -0.980906E+00   0.194483E+00
 0.000000E+00 -0.936795E+00   0.349879E+00
 0.000000E+00 -0.876696E+00   0.481045E+00
 0.000000E+00 -0.810027E+00   0.586393E+00
 0.000000E+00 -0.743614E+00   0.668609E+00
 0.000000E+00 -0.681324E+00   0.731982E+00
 0.000000E+00 -0.624827E+00   0.780763E+00
 0.000000E+00 -0.574484E+00   0.818516E+00
 0.000000E+00 -0.529999E+00   0.847998E+00
-0.114460E-01 -0.999646E+00   0.240321E-01
-0.110588E-01 -0.980817E+00   0.194615E+00
-0.101433E-01 -0.936956E+00   0.349299E+00
-0.886188E-02 -0.877223E+00   0.480001E+00
-0.738276E-02 -0.810911E+00   0.585123E+00
-0.583317E-02 -0.744782E+00   0.667283E+00
-0.429104E-02 -0.682688E+00   0.730698E+00
-0.279625E-02 -0.626309E+00   0.779570E+00
-0.136488E-02 -0.576026E+00   0.817430E+00
 0.000000E+00 -0.531559E+00   0.847021E+00
-0.224358E-01 -0.999430E+00   0.252115E-01
-0.216779E-01 -0.980830E+00   0.193655E+00
-0.198976E-01 -0.937782E+00   0.346654E+00
-0.174033E-01 -0.879085E+00   0.476347E+00
-0.145165E-01 -0.813726E+00   0.581067E+00
-0.114832E-01 -0.748323E+00   0.663235E+00
-0.845622E-02 -0.686707E+00   0.726885E+00
-0.551536E-02 -0.630597E+00   0.776091E+00
