Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.682727E+01  0.583639E+00  -0.632696E-02  -0.679854E+01   0.370352E+00  -0.531881E-02  -0.395944E+00  -0.518599E-02
-0.682727E+01  0.575853E+00  -0.144513E+00  -0.679908E+01   0.363724E+00  -0.121611E+00  -0.388540E+00  -0.220089E-02
-0.682727E+01  0.553801E+00  -0.282699E+00  -0.680057E+01   0.344858E+00  -0.238570E+00  -0.368050E+00  -0.280770E-02
-0.682727E+01  0.517484E+00  -0.420885E+00  -0.680291E+01   0.313497E+00  -0.356744E+00  -0.335755E+00  -0.190114E-02
-0.682727E+01  0.466901E+00  -0.559071E+00  -0.680598E+01   0.269285E+00  -0.476533E+00  -0.293474E+00  -0.190579E-02
-0.682727E+01  0.402052E+00  -0.697257E+00  -0.680962E+01   0.211823E+00  -0.598165E+00  -0.243267E+00  -0.614703E-05
-0.682727E+01  0.322938E+00  -0.835442E+00  -0.681369E+01   0.140728E+00  -0.721718E+00  -0.187160E+00  -0.356717E-02
-0.682727E+01  0.229557E+00  -0.973628E+00  -0.681806E+01   0.556725E-01  -0.847149E+00  -0.126963E+00   0.783296E-02
-0.682727E+01  0.121912E+00  -0.111181E+01  -0.682261E+01   0.000000E+00  -0.974335E+00  -0.641813E-01  -0.647423E-02
-0.682727E+01  0.000000E+00  -0.125000E+01  -0.682727E+01   0.000000E+00  -0.110311E+01   0.000000E+00   0.296361E-02
-0.645673E+01  0.631696E+00  -0.848032E-02  -0.642933E+01   0.412226E+00  -0.697536E-02  -0.367430E+00  -0.166328E-01
-0.645673E+01  0.623057E+00  -0.146427E+00  -0.642988E+01   0.405036E+00  -0.120613E+00  -0.360012E+00   0.463020E-02
-0.645673E+01  0.599030E+00  -0.284374E+00  -0.643138E+01   0.384897E+00  -0.235134E+00  -0.339957E+00  -0.523520E-02
-0.645673E+01  0.559616E+00  -0.422320E+00  -0.643370E+01   0.351442E+00  -0.351231E+00  -0.308750E+00  -0.961179E-03
-0.645673E+01  0.504815E+00  -0.560267E+00  -0.643671E+01   0.304174E+00  -0.469369E+00  -0.268438E+00  -0.212765E-02
-0.645673E+01  0.434626E+00  -0.698214E+00  -0.644023E+01   0.242560E+00  -0.589777E+00  -0.221237E+00   0.418442E-04
-0.645673E+01  0.349051E+00  -0.836160E+00  -0.644411E+01   0.166121E+00  -0.712477E+00  -0.169225E+00  -0.323510E-02
-0.645673E+01  0.248088E+00  -0.974107E+00  -0.644822E+01   0.744648E-01  -0.837349E+00  -0.114157E+00   0.790700E-02
-0.645673E+01  0.131737E+00  -0.111205E+01  -0.645245E+01   0.000000E+00  -0.964192E+00  -0.574106E-01  -0.699736E-02
-0.645673E+01  0.000000E+00  -0.125000E+01  -0.645673E+01   0.000000E+00  -0.109277E+01   0.000000E+00   0.324424E-02
-0.606537E+01  0.678603E+00  -0.673878E-02  -0.603942E+01   0.452786E+00  -0.541695E-02  -0.338566E+00  -0.496459E-02
-0.606537E+01  0.669506E+00  -0.144879E+00  -0.603996E+01   0.445392E+00  -0.116675E+00  -0.331509E+00  -0.273308E-02
